ID,POPULATION,area_km2,population_per_km2,stop_count,stops_per_km2,population_per_stop,expected_stops,stop_difference,difference_percent
1,23725,15.88608232434666,1493.4456158293722,100,6.294818191061632,237.25,96.72224713604304,3.2777528639569624,3.388830347734472
2,23172,15.678019168545248,1477.9928351210272,61,3.890797641221416,379.8688524590164,94.46777284031145,-33.467772840311454,-35.427714482996706
3,24397,8.442513334638111,2889.7792674965053,83,9.831195606107716,293.93975903614455,99.46186147009661,-16.461861470096608,-16.550928392835175
4,22143,16.18933918552674,1367.7519351621113,50,3.0884521861584053,442.86,90.27273839129194,-40.27273839129194,-44.612292823917265
5,25465,12.933509211131039,1968.9165240694238,105,8.118446299913195,242.52380952380952,103.81589139386031,1.184108606139688,1.1405851168270336
6,26746,36.5459893229499,731.845012147591,183,5.007389412361069,146.15300546448088,109.03828121814993,73.96171878185007,67.83096537800046
7,24702,10.771216071489379,2293.334367823554,146,13.55464406534851,169.1917808219178,100.70528761873699,45.29471238126301,44.97749170107686
8,25149,36.278939262222536,693.2121090482873,107,2.9493695840059937,235.0373831775701,102.52762036772799,4.472379632272009,4.3621217543441135
9,25263,25.187343123063844,1003.003765683681,74,2.937983559379028,341.3918918918919,102.99237637082636,-28.992376370826364,-28.150021770969396
10,24528,10.692383125263873,2293.969427829933,91,8.510731324711509,269.53846153846155,99.99592319295527,-8.995923192955274,-8.996289954337897
